Time,Pressure,Concentration
(s),(psi),(mM)
3340,59.298,94.50144088
3345,59.302,94.55708957
3350,59.307,94.6133829
3355,59.312,94.66908181
3360,59.318,94.72409422
3365,59.322,94.77837827
3370,59.327,94.83277953
3375,59.329,94.88761613
3380,59.334,94.94364992
3385,59.338,95.00096464
3390,59.341,95.05953515
3395,59.345,95.11754474
3400,59.349,95.17380458
3405,59.353,95.22776212
3410,59.265,95.28074013
3415,59.148,95.33021865
3420,59.044,95.37321724
3425,58.936,95.40796104
3430,58.863,95.43651794
3435,58.882,95.46543482
3440,58.888,95.50166884
3445,58.895,95.54648416
3450,58.902,95.59858311
3455,58.908,95.65304297
3460,58.915,95.70552704
3465,58.921,95.75562509
3470,58.926,95.80598267
3475,58.934,95.85798953
3480,58.94,95.91339543
3485,58.946,95.97040038
3490,58.953,96.02688626
3495,58.96,96.08065124
3500,58.966,96.1325409
3505,58.972,96.18461474
3510,58.977,96.23905786
3515,58.984,96.29401166
3520,58.989,96.3477599
3525,58.996,96.40047839
3530,59.001,96.45415128
3535,59.007,96.51014322
3540,59.013,96.56693886
3545,59.018,96.62097175
3550,59.023,96.67142142
3555,59.029,96.71995391
3560,59.035,96.76985103
3565,59.04,96.82246905
3570,59.05,96.87606659
3575,59.057,96.92916182
3580,59.061,96.98215658
3585,59.066,97.03512622
3590,59.074,97.08902516
3595,59.079,97.14322548
3600,59.083,97.19715791
3605,59.088,97.25083917
3610,59.093,97.30335673
3615,59.097,97.35531336
3620,59.104,97.40779743
3625,59.109,97.46044056
3630,59.115,97.51280742
3635,59.121,97.56403569
3640,59.126,97.61420072
3645,59.136,97.66562991
3650,59.141,97.718407
3655,59.147,97.77224733
3660,59.152,97.82629696
3665,59.154,97.87798569
3670,59.159,97.92760654
3675,59.164,97.97677529
3680,59.17,98.02663055
3685,59.176,98.0785537
3690,59.18,98.13205915
3695,59.185,98.18475252
3700,59.191,98.23758821
3705,59.196,98.29067506
3710,59.201,98.34467446
3715,59.206,98.39871572
3720,59.211,98.45144258
3725,59.214,98.50198434
3730,59.22,98.55167216
3735,59.225,98.60100836
3740,59.23,98.65071292
3745,59.238,98.70096166
3750,59.24,98.75170436
3755,59.247,98.80293262
3760,59.251,98.8547553
3765,59.256,98.90735658
3770,59.26,98.9602425
3775,59.265,99.0129861
3780,59.268,99.06427298
3785,59.273,99.11387708
3790,59.278,99.16268584
3795,59.284,99.21231505
3800,59.286,99.26355169
3805,59.29,99.31540786
3810,59.292,99.36592451
3815,59.297,99.4143063
3820,59.301,99.46152438
3825,59.304,99.50907734
